placeId:ID(Place-ID),:LABEL
1,Place
2,Place
4,Place
3,Place
10,Place
6,Place
8,Place
22,Place
5,Place
13,Place
11,Place
15,Place
18,Place
14,Place
19,Place
7,Place
77,Place
9,Place
40,Place
28,Place
12,Place
25,Place
31,Place
30,Place
36,Place
26,Place
17,Place
46,Place
42,Place
91,Place
27,Place
24,Place
29,Place
21,Place
41,Place
20,Place
63,Place
56,Place
16,Place
45,Place
33,Place
37,Place
23,Place
137,Place
115,Place
54,Place
35,Place
47,Place
65,Place
72,Place
49,Place
66,Place
32,Place
60,Place
39,Place
64,Place
61,Place
53,Place
44,Place
52,Place
100,Place
34,Place
43,Place
74,Place
107,Place
51,Place
103,Place
135,Place
50,Place
38,Place
